
      Sorbonne University
      Washington University in Saint Louis
      University of Texas at Austin


           ###    ##    ##    ###
          #       # #  # #    #  ##
         #        #  ##  #    #    #
          ###     #      #    #    #
            #     #      #    #    #
           #      #      #    #  ##
        ###       #      #    ###


      ######################################
      #                                    #
      # TINKER-HP SMD MODULE : VERSION 1.2 #
      #                                    #
      ######################################



   *************** WARNING ISSUES ***************
   No WARNING was observed
   => all parameters seem to be good :D

     ^  ^
      --
     (^^)\________
     (__)\        )\/\...SMD
         ||-----w |
         ||      ||

   **********************************************


   ********************************************
   ********** Initial SMD parameters **********
   ********************************************


   Type of SMD used : Constant force SMD

   Integrator used : BAOABRESPA1

   Frequency for the printing :        100
   SMDFor =  5.000 kcal/mol.A^2

   ************* COM AND DIRECTION VECTOR DEFINITION *************
   Number of SMD atoms considered : 
   Atoms ID :   2604
   Atoms ID :   2605
   Atoms ID :   2606
   Atoms ID :   2607
   Atoms ID :   2608
   Atoms ID :   2609
   Atoms ID :   2610
   Atoms ID :   2611
   Atoms ID :   2612
   Atoms ID :   2613
   Atoms ID :   2614
   Atoms ID :   2615
   Initial direction vector read for the SMD : 
       -4.834   5.513  -2.323
   ***************************************************************

   ********** NORMALISATION OF THE SMD VECTOR **********
   Normalization of the motion directory vector done, factor =  0.361
   Normalized motion directory vector: 
       -0.628   0.717  -0.302
   *****************************************************

SMDinfo   Step         xCOM      yCOM      zCOM
SMD       126.00000   -9.0991    5.5041    0.8105
SMD       127.00000   -9.0044    5.9427    0.4209
SMD       128.00000   -9.0177    5.9463    1.0276
SMD       129.00000   -8.7580    6.2761    0.2310
SMD       130.00000   -9.3743    5.6792    0.1015
SMD       131.00000   -9.0979    5.8476    0.9270
SMD       132.00000   -9.0361    5.2963    0.3377
SMD       133.00000   -9.5520    5.5401    0.6568
SMD       134.00000   -9.0498    6.0966    0.7712
SMD       135.00000   -8.8762    6.3031    0.6961
SMD       136.00000   -8.9040    6.1164    1.0716
SMD       137.00000   -8.9886    5.8000    0.3929
SMD       138.00000   -8.6936    6.3247    0.9437
SMD       139.00000   -8.4158    5.7906    1.1718
SMD       140.00000   -7.8450    6.2229    1.5538
SMD       141.00000   -7.5267    6.0193    1.5211
SMD       142.00000   -7.6547    5.9037    1.0442
SMD       143.00000   -8.0550    6.3599    1.5280
SMD       144.00000   -8.5056    5.6779    0.7821
SMD       145.00000   -8.0525    5.3300    1.1329
SMD       146.00000   -8.5851    5.7981    1.4785
SMD       147.00000   -8.1847    5.6021    0.8877
SMD       148.00000   -8.3079    5.9745    1.6301
SMD       149.00000   -8.6649    6.0347    1.4824
SMD       150.00000   -8.4890    6.3025    1.4665
SMD       151.00000   -8.2924    6.0676    1.0935
SMD       152.00000   -8.6968    5.9417    1.1916
SMD       153.00000   -8.5103    5.7224    1.9256
SMD       154.00000   -8.5951    6.2763    1.8535
SMD       155.00000   -8.5319    6.0447    1.3486
SMD       156.00000   -8.4194    6.1026    1.5683
SMD       157.00000   -8.4964    6.3329    1.8885
SMD       158.00000   -8.6997    6.2734    1.8440
SMD       159.00000   -8.7362    6.0538    2.2763
SMD       160.00000   -8.5036    5.8503    1.6294
SMD       161.00000   -9.3371    5.7417    1.5933
SMD       162.00000   -9.5214    5.7844    2.0467
SMD       163.00000   -9.3558    5.9416    2.0821
SMD       164.00000   -9.3462    5.6612    1.6442
SMD       165.00000   -9.3532    5.7292    1.3531
SMD       166.00000   -9.3846    6.2397    1.5301
SMD       167.00000   -9.1816    5.8675    1.3082
SMD       168.00000   -9.8101    5.7266    1.6608
SMD       169.00000   -9.6930    6.0202    1.3618
SMD       170.00000   -9.4169    6.1672    1.6390
SMD       171.00000   -9.4614    5.7111    1.8653
SMD       172.00000   -9.3591    5.8377    1.5790
SMD       173.00000   -8.9603    6.0943    1.5444
SMD       174.00000   -8.3250    5.6121    0.7680
SMD       175.00000   -8.9299    5.8570    0.9714
SMD       176.00000   -8.1247    5.7648    0.7697
SMD       177.00000   -9.0441    5.3439    0.9820
SMD       178.00000   -8.6863    5.7041    1.4845
SMD       179.00000   -8.8222    5.4893    1.0654
SMD       180.00000   -8.9934    5.7845    1.3611
SMD       181.00000   -8.9922    5.3619    1.4094
SMD       182.00000   -8.8288    5.6757    1.3763
SMD       183.00000   -9.2435    5.9040    1.1660
SMD       184.00000   -8.2474    5.6211    1.3417
SMD       185.00000   -9.4346    5.6300    1.9063
SMD       186.00000   -9.6439    6.3159    1.2894
SMD       187.00000   -8.9448    5.9111    1.0619
SMD       188.00000   -9.2536    5.7298    1.2090
SMD       189.00000   -9.2844    6.0107    1.4353
SMD       190.00000   -9.4626    5.7343    0.8823
SMD       191.00000   -9.1518    5.8150    1.1532
SMD       192.00000   -9.5547    5.4368    0.7442
SMD       193.00000   -8.8631    5.9020    0.6939
SMD       194.00000   -9.6770    6.0746   -0.7906
SMD       195.00000   -8.8313    5.9091    0.0778
SMD       196.00000   -9.5351    6.2807    1.0659
SMD       197.00000   -9.3279    6.2046    0.4381
SMD       198.00000  -10.0289    6.9053    0.1645
SMD       199.00000  -10.1263    6.2665   -0.1149
SMD       200.00000  -10.4929    6.7862    0.0122
SMD       201.00000  -10.2461    6.5253    0.6862
SMD       202.00000  -10.6742    5.9818    0.7476
SMD       203.00000   -9.8186    5.8666    0.4935
SMD       204.00000   -9.8405    5.8519    0.4122
SMD       205.00000   -9.3690    6.2871    0.8895
SMD       206.00000   -9.7416    6.1264    0.5563
SMD       207.00000   -9.5824    6.0136    0.5153
SMD       208.00000   -9.2164    6.0667    0.7878
SMD       209.00000   -9.8554    5.7106    1.1229
SMD       210.00000   -9.9897    6.1825    0.7825
SMD       211.00000  -10.0162    6.0381    0.5327
SMD       212.00000   -9.8757    6.0618    0.6660
SMD       213.00000   -9.2635    5.5354    0.8906
SMD       214.00000   -9.8758    5.3847    0.5852
SMD       215.00000   -9.6071    5.8973    1.1326
SMD       216.00000   -9.0597    5.5728    1.0484
SMD       217.00000   -9.7602    5.9276    0.4863
SMD       218.00000   -9.1333    5.8631    0.4780
SMD       219.00000   -9.3108    5.7814    0.9107
SMD       220.00000   -9.1714    6.0653    1.1597
SMD       221.00000   -9.1013    6.0750    0.3507
SMD       222.00000   -8.9870    6.3809    0.4067
SMD       223.00000   -9.4202    6.1349    0.2867
SMD       224.00000   -9.5298    5.9777    0.4768
SMD       225.00000   -9.3714    5.9539    0.5689
SMD       226.00000   -9.2417    6.2136    0.1893
SMD       227.00000   -9.4038    5.5801    0.1225
SMD       228.00000   -8.8586    5.4626    0.2117
SMD       229.00000   -9.7018    5.5563    0.1964
SMD       230.00000   -9.7262    5.8245    0.2514
SMD       231.00000  -10.3144    5.9874    0.5110
SMD       232.00000  -10.2217    5.6454   -0.1271
SMD       233.00000   -9.9116    6.1149    0.0706
SMD       234.00000   -9.9844    5.6413   -0.5159
SMD       235.00000  -10.5935    5.8470   -0.4595
SMD       236.00000  -10.1483    5.7657    0.0575
SMD       237.00000  -10.0758    5.8286   -0.2582
SMD       238.00000   -9.5217    5.6333    0.2310
SMD       239.00000   -9.4927    5.5931    0.0903
SMD       240.00000   -9.4746    6.0271   -0.1689
SMD       241.00000   -8.9922    6.2332   -0.3254
SMD       242.00000   -9.2943    5.7921    0.0502
SMD       243.00000   -9.4571    5.7443   -0.2567
SMD       244.00000   -9.0182    5.8563    0.4024
SMD       245.00000   -9.5075    5.5275   -0.1324
SMD       246.00000   -9.2023    6.3826    0.0796
SMD       247.00000   -9.4610    6.2128    0.0409
SMD       248.00000   -9.8940    6.0415    0.0603
SMD       249.00000   -9.7072    5.7302    0.7728
SMD       250.00000   -9.5294    5.6725    0.2087
SMD       251.00000   -9.4967    5.9000    0.4401
SMD       252.00000   -9.0000    6.1899    0.6215
SMD       253.00000  -10.0792    5.7887    0.0323
SMD       254.00000   -9.8380    5.2307    0.5397
SMD       255.00000   -9.7057    5.3837    0.5402
SMD       256.00000   -9.4292    6.0572    0.8434
SMD       257.00000   -9.4414    5.5246    0.5740
SMD       258.00000   -9.9252    5.4171    0.2739
SMD       259.00000   -9.4876    5.4336    0.3661
SMD       260.00000   -8.9730    5.9320    0.2947
SMD       261.00000   -9.1686    5.5987    0.4650
SMD       262.00000   -9.1714    6.1175    0.7365
SMD       263.00000   -9.0787    6.2265    0.5872
SMD       264.00000   -9.0876    6.2085    0.9532
SMD       265.00000   -9.2935    6.2458    0.5587
SMD       266.00000   -9.1966    6.2058    0.7272
SMD       267.00000   -8.2533    6.9171    1.0407
SMD       268.00000   -8.2215    6.5935    0.5284
SMD       269.00000   -9.1152    6.1597    0.7388
SMD       270.00000   -8.4681    6.4132    0.6220
SMD       271.00000   -8.5453    6.3587    0.6295
SMD       272.00000   -8.6719    6.2504    1.1261
SMD       273.00000   -8.7988    6.3118    0.8148
SMD       274.00000   -9.2209    6.2508    0.9990
SMD       275.00000   -9.3573    6.2551    0.5005
SMD       276.00000   -9.3930    6.0636    0.8667
SMD       277.00000   -8.5510    5.9629    1.0952
SMD       278.00000   -8.5886    6.3343    1.1808
SMD       279.00000   -8.9867    6.0907    0.8733
SMD       280.00000   -8.4847    6.2230    1.3437
SMD       281.00000   -8.9861    6.3207    0.8806
SMD       282.00000   -8.3229    6.8274    1.5963
SMD       283.00000   -8.7663    6.7488    1.3934
SMD       284.00000   -8.4933    6.7748    0.9390
SMD       285.00000   -9.0551    6.4525    1.4571
SMD       286.00000   -8.6369    6.7687    1.1590
SMD       287.00000   -9.4376    6.9396    1.8121
SMD       288.00000   -9.0410    6.8495    1.5122
SMD       289.00000   -9.1079    7.0317    0.7533
SMD       290.00000  -10.0050    6.8980    1.4724
SMD       291.00000   -9.4239    6.8989    0.7583
SMD       292.00000   -9.4421    6.7764    1.5436
SMD       293.00000  -10.2528    6.5869    0.9358
SMD       294.00000   -9.3313    6.0398    0.6557
SMD       295.00000   -9.2537    6.4422    0.6657
SMD       296.00000   -9.7289    6.6097    0.7605
SMD       297.00000   -9.6130    6.3540    0.7186
SMD       298.00000   -9.5594    6.1528    0.5636
SMD       299.00000   -8.6429    6.3497    0.5920
SMD       300.00000   -8.7992    6.5148    0.7318
SMD       301.00000   -8.9583    5.9974    0.3734
SMD       302.00000   -9.7080    6.1939    0.1236
SMD       303.00000   -9.0012    5.9152    0.3576
SMD       304.00000   -8.8695    5.7235   -0.0065
SMD       305.00000   -9.9087    6.0221   -0.3752
SMD       306.00000   -9.0367    6.1201    0.4740
SMD       307.00000   -9.3294    6.1567    0.2552
SMD       308.00000   -9.2921    6.2179    0.7549
SMD       309.00000   -9.7541    6.0238    0.7793
SMD       310.00000   -8.9125    6.3066    1.3704
SMD       311.00000   -9.1737    6.4444    0.5271
SMD       312.00000   -9.5519    7.0426    1.2085
SMD       313.00000   -9.8593    6.5955    0.0418
SMD       314.00000   -9.7597    6.7826    1.2395
SMD       315.00000   -9.6581    6.4573    1.1559
SMD       316.00000   -8.9321    6.3071    1.0463
SMD       317.00000   -8.9684    6.3460    1.3938
SMD       318.00000  -10.2225    6.7000    0.6386
SMD       319.00000   -9.1404    7.0852    1.1582
SMD       320.00000   -8.8890    6.7608    1.0917
SMD       321.00000   -9.1889    5.7508    0.6434
SMD       322.00000   -8.6723    6.3758    0.9577
SMD       323.00000   -8.6342    6.2140    1.0281
SMD       324.00000   -9.0413    6.3571    0.7256
SMD       325.00000   -9.4232    5.7515    0.8016
SMD       326.00000   -8.7211    6.6133    1.6957
SMD       327.00000   -8.6135    6.7935    1.0407
SMD       328.00000   -8.8529    6.6646    1.1793
SMD       329.00000   -9.1764    6.1240    0.7377
SMD       330.00000   -8.8946    6.8209    1.1054
SMD       331.00000   -9.2558    6.9241    1.2287
SMD       332.00000   -9.6613    6.1102    1.0126
SMD       333.00000   -9.1446    6.6410    1.5802
SMD       334.00000   -8.8795    6.3963    1.1147
SMD       335.00000   -9.1089    6.2142    1.1628
SMD       336.00000   -9.0663    6.3602    1.1708
SMD       337.00000   -9.5070    5.5097    1.0347
SMD       338.00000   -8.8591    6.2269    0.9344
SMD       339.00000   -9.4336    6.0589    1.4330
SMD       340.00000   -9.6516    6.2123    1.3467
SMD       341.00000   -9.4449    6.0822    1.0828
SMD       342.00000   -9.3909    5.7258    0.3667
SMD       343.00000   -9.9933    5.6531    0.1197
SMD       344.00000   -9.2413    6.4207    1.0988
SMD       345.00000   -9.9827    6.0594    0.4610
SMD       346.00000   -9.4878    5.9863    0.8608
SMD       347.00000  -10.0572    6.0866    1.0476
SMD       348.00000   -9.8833    6.3683    0.6419
SMD       349.00000   -9.6841    6.0821    0.6615
SMD       350.00000   -9.5478    6.0830    0.3619
SMD       351.00000   -9.4261    6.4129    1.2448
SMD       352.00000   -9.8600    5.8339    0.7684
SMD       353.00000   -9.5986    5.9235    1.1339
SMD       354.00000   -9.1007    5.7978    0.6800
SMD       355.00000   -9.2261    5.6808    0.2400
SMD       356.00000   -8.8724    6.0720    0.7243
SMD       357.00000   -9.2317    5.6803    1.0095
SMD       358.00000   -8.8799    5.7585    0.9883
SMD       359.00000   -9.5351    5.8351    0.7566
SMD       360.00000   -9.5379    6.2313    1.2366
SMD       361.00000  -10.4544    6.1360    1.0777
SMD       362.00000   -9.9964    5.9911    1.2663
SMD       363.00000   -9.7385    6.0012    1.1092
SMD       364.00000   -9.3925    6.0424    1.2577
SMD       365.00000   -9.5951    6.4221    0.9479
SMD       366.00000   -9.1217    6.1223    1.1735
SMD       367.00000   -8.6679    6.2375    1.0956
SMD       368.00000   -8.6361    6.1136    1.4076
SMD       369.00000   -9.1058    6.2585    1.4840
SMD       370.00000   -9.0679    6.0201    1.4540
SMD       371.00000   -9.0515    6.4931    1.0783
SMD       372.00000   -8.5194    5.7348    1.1618
SMD       373.00000   -8.6661    6.5043    0.7364
SMD       374.00000   -8.2970    5.9770    0.8886
SMD       375.00000   -8.9030    6.5508    0.3250
SMD       376.00000   -8.9503    6.5031    1.0087
SMD       377.00000   -8.5126    6.3518    0.6193
SMD       378.00000   -8.3193    6.0864    1.0459
SMD       379.00000   -9.0869    5.7708    0.4061
SMD       380.00000   -8.0706    6.0358    1.3560
SMD       381.00000   -8.5883    6.1214    1.4708
SMD       382.00000   -7.4418    6.7769    1.3970
SMD       383.00000   -8.0101    6.1414    0.8443
SMD       384.00000   -8.3767    6.4264    0.9977
SMD       385.00000   -8.3329    6.7188    1.2658
SMD       386.00000   -8.5340    6.3401    1.0202
SMD       387.00000   -8.4440    6.3907    0.8809
SMD       388.00000   -8.0886    6.5288    0.9639
SMD       389.00000   -8.2799    5.9096    0.2441
SMD       390.00000   -8.2413    6.3969    1.4241
SMD       391.00000   -7.9564    6.6960    1.5481
SMD       392.00000   -8.7531    6.4133    1.1515
SMD       393.00000   -8.6198    6.3345    0.8480
SMD       394.00000   -8.1498    6.0110    0.7627
SMD       395.00000   -8.5867    6.1113    1.0692
SMD       396.00000   -8.5361    6.3089    0.6471
SMD       397.00000   -8.0291    6.0267    0.8921
SMD       398.00000   -8.2593    6.0638    1.4716
SMD       399.00000   -7.8538    6.3841    1.1482
SMD       400.00000   -8.4937    5.6519    0.2814
SMD       401.00000   -8.0133    5.9405   -0.5492
SMD       402.00000   -8.3778    5.8136    0.7011
SMD       403.00000   -8.9197    5.5435    1.2026
SMD       404.00000   -9.0112    5.7199    0.5101
SMD       405.00000   -8.9071    6.0408    0.2362
SMD       406.00000   -8.7720    5.8616    0.9356
SMD       407.00000   -8.5133    6.0325    0.7586
